start_date,end_date,results,news
2020-01-22,2020-01-23,9,"[('Otra vez, vuelven y juegan los piques en la Circunvalar', 'Ciudadanos temen que se presente un accidente. Anoche inmovilizaron 19 vehículos.'), ('Trabajadora de supermercado es herida en asalto', 'Luego de sentirse atrapados en medio de un robo, dos delincuentes se tornaron agresivos e hirieron a una trabajadora del lugar que estaban robando.'), ('Las lecciones que dejó el protocolo en las marchas', 'Onu dice que vandalismo desvía la atención de reclamos en las protestas.'), ('Investigan causas de accidente que dejó 34 heridos en El Rosal', 'Un bus y un camión tipo volqueta se estrellaron. Fue en el kilómetro 18.'), ('Los cuestionamientos de la Personería al protocolo de Claudia López', 'Carmen Castañeda evaluó los resultados de la estrategia de la Alcaldía en las marchas del martes.'), ('Los destrozos que dejaron los vándalos tras las marchas en Bogotá', ""Las manifestaciones de la jornada de protestas denominada como '21E' tuvo episodios lamentables.""), ('Lo positivo y lo negativo de la jornada de protestas en Bogotá', 'Actos artísticos y de cultura ciudadana opacados por violencia de encapuchados dividen opiniones.'), ('Las duras imágenes que deja el incendio en el barrio El Dorado', 'Varias viviendas quedaron destruidas. Familias piden ayuda.'), (""'La ciudad no vio al Esmad agrediendo a civiles': Claudia López"", 'Marchas en Colombia hoy 21 de enero, siga en vivo las marchas en las principales ciudades del país')]"
2020-01-23,2020-01-24,4,"[('En Bogotá, el servicio social se puede hacer en Protección Animal', '.'), ('Licor y velocidad, las hipótesis del mortal accidente en la carrera 30', 'Esta sería la primera hipótesis del accidente ocurrido en la 30 hoy en Bogotá'), ('Otra vez, vuelven y juegan los piques en la Circunvalar', 'Ciudadanos temen que se presente un accidente. Anoche inmovilizaron 19 vehículos.'), ('Trabajadora de supermercado es herida en asalto', 'Luego de sentirse atrapados en medio de un robo, dos delincuentes se tornaron agresivos e hirieron a una trabajadora del lugar que estaban robando.')]"
2020-01-24,2020-01-25,4,"[('Se caldea el ambiente en víspera de las corridas de toros', 'El próximo domingo, animalistas harán manifestaciones culturales en contra de la fiesta brava.'), ('Trató de huir de la policía y se llevó enganchada la moto del agente', 'Los hechos ocurrieron en la Autopista Sur, a la altura de Makro.'), ('En Bogotá, el servicio social se puede hacer en Protección Animal', '.'), ('Licor y velocidad, las hipótesis del mortal accidente en la carrera 30', 'Esta sería la primera hipótesis del accidente ocurrido en la 30 hoy en Bogotá')]"
2020-01-25,2020-01-26,2,"[('Se caldea el ambiente en víspera de las corridas de toros', 'El próximo domingo, animalistas harán manifestaciones culturales en contra de la fiesta brava.'), ('Trató de huir de la policía y se llevó enganchada la moto del agente', 'Los hechos ocurrieron en la Autopista Sur, a la altura de Makro.')]"
2020-01-26,2020-01-27,3,"[('La andanada de Germán Vargas contra Luis Ernesto Gómez por protestas', 'En redes sociales, el exvicepresidente criticó a Gómez por el manejo de las marchas.'), ('Estaciones de TransMilenio donde más roban, según Concejo de Bogotá', 'En la capital del, país diariamente, 60 personas denuncian hurtos en el sistema de transporte.'), ('Banda que se movilizaba en un taxi en Normandía fue capturada', 'Tenían armas de fuego y buscaban robar casas en el barrio.')]"
2020-01-27,2020-01-28,9,"[('Denuncian presunto abuso de autoridad en estación de TransMilenio', 'Policía golpeó a una mujer, al parecer, porque su hermano intentaba ingresar licor al sistema.'), ('¿Hay bandas de ladrones utilizando elementos de Rappi para camuflarse?', 'El último hecho de hurto sucedió el pasado domingo 26 de enero.'), ('Salud de conductor de Sitp habría causado fatal accidente en El Tintal', 'Los hechos ocurrieron en el barrio Osorio II en la mañana de este martes.'), ('Proponen que los policías que escoltan concejales pasen a cuidar TM', 'Además, buscan que las camionetas blindadas solo las usen quienes en realidad las necesiten.'), ('Disparan al rostro de investigador de la Sijin en Engativá', 'El hombre estaba con su esposa cuando fue abordado por delincuentes armados.'), ('Pacto de paz entre taxistas y Uber después de batalla campal', 'El hecho sucedió en la madrugada del sábado en el barrio Restrepo.'), ('La andanada de Germán Vargas contra Luis Ernesto Gómez por protestas', 'En redes sociales, el exvicepresidente criticó a Gómez por el manejo de las marchas.'), ('Estaciones de TransMilenio donde más roban, según Concejo de Bogotá', 'En la capital del, país diariamente, 60 personas denuncian hurtos en el sistema de transporte.'), ('Banda que se movilizaba en un taxi en Normandía fue capturada', 'Tenían armas de fuego y buscaban robar casas en el barrio.')]"
2020-01-28,2020-01-29,11,"[('Con tecnología y agentes encubiertos combatirán hurtos en TransMilenio', 'Habrá un dron sobrevolando zonas críticas, patrullas que recorren las troncales pasará de 15 a 50.'), ('Lo que usted necesita saber para no tener pico y placa en Bogotá', 'Datos sobre el permiso especial de Pico y Placa en Bogotá'), ('Con app buscarán reducir abusos y hurtos en TransMilenio', 'En medio de la presentación de cifras de seguridad, hubo anuncios de las autoridades.'), ('¿Por qué un policía le pegó a mi esposa en TransMilenio?', 'Las víctimas dice que lo único que hicieron fue ingresar al sistema con una botella de cerveza'), ('¡Ojo! nueve intersecciones semafóricas tendrán afectaciones', 'Se realza migración de equipos hacia la semaforización inteligente'), ('Denuncian presunto abuso de autoridad en estación de TransMilenio', 'Policía golpeó a una mujer, al parecer, porque su hermano intentaba ingresar licor al sistema.'), ('¿Hay bandas de ladrones utilizando elementos de Rappi para camuflarse?', 'El último hecho de hurto sucedió el pasado domingo 26 de enero.'), ('Salud de conductor de Sitp habría causado fatal accidente en El Tintal', 'Los hechos ocurrieron en el barrio Osorio II en la mañana de este martes.'), ('Proponen que los policías que escoltan concejales pasen a cuidar TM', 'Además, buscan que las camionetas blindadas solo las usen quienes en realidad las necesiten.'), ('Disparan al rostro de investigador de la Sijin en Engativá', 'El hombre estaba con su esposa cuando fue abordado por delincuentes armados.'), ('Pacto de paz entre taxistas y Uber después de batalla campal', 'El hecho sucedió en la madrugada del sábado en el barrio Restrepo.')]"
2020-01-29,2020-01-30,10,"[('Se registran desmanes y bloqueos en la U. Distrital, sede Macarena', 'Se encuentra bloqueada la circunvalar por protestas de estudiantes de la Universidad Distrital'), ('Hincha de millonarios muere quemado', 'Falleció horas después del ataque. Familia pide que investiguen los hechos.'), ('Nuevas estrategias para atender casos de acoso en TransMilenio', 'Nuevas medidas para que las mujeres se sientan seguras viajando en TransMilenio'), ('Choque accidental entre ciclistas termina en asesinato', 'Los hechos ocurrieron bajo el puente de la avenida Boyacá con avenida Villavicencio.'), ('Crimen ocurrido entre Soacha y Bosa pone a prueba a las autoridades', 'Un hombre fue asesinado por un presunto caso de hurto. Autoridades no definen de quién es el caso.'), ('Con tecnología y agentes encubiertos combatirán hurtos en TransMilenio', 'Habrá un dron sobrevolando zonas críticas, patrullas que recorren las troncales pasará de 15 a 50.'), ('Lo que usted necesita saber para no tener pico y placa en Bogotá', 'Datos sobre el permiso especial de Pico y Placa en Bogotá'), ('Con app buscarán reducir abusos y hurtos en TransMilenio', 'En medio de la presentación de cifras de seguridad, hubo anuncios de las autoridades.'), ('¿Por qué un policía le pegó a mi esposa en TransMilenio?', 'Las víctimas dice que lo único que hicieron fue ingresar al sistema con una botella de cerveza'), ('¡Ojo! nueve intersecciones semafóricas tendrán afectaciones', 'Se realza migración de equipos hacia la semaforización inteligente')]"
2020-01-30,2020-01-31,14,"[('El homicidio que reveló el drama de ser víctima en frontera con Soacha', 'Asesinato deja ver que aún no está claro cómo será el trabajo conjunto entre las autoridades.'), ('A debate inseguridad en Bogotá, Concejo pide plan de choque', 'Piden que administración cumpla con el Plan de Choque'), ('Alcaldesa se pronuncia sobre la persona que se defendió de atraco', 'El Distrito estudia asistir legalmente al hombre que disparó contra los presuntos delincuentes.'), ('Derrame de cerveza en la avenida Boyacá con calle 80', 'El accidente del vehículo de carga generó dificultad en la movilidad del sector.'), (""'No estudié para ser conductor de Uber, pero pude salir a flote'"", 'Un conductor de la app teme por lo que la salida de este servicio implique para su estabilidad.'), ('Los concejales de Bogotá que no han aceptado esquema de seguridad', 'Consideran que no tienen riesgo alguno y prefieren movilizarse en el transporte público.'), ('Qué tan costoso es el esquema de seguridad de los concejales de Bogotá', 'Alquiler de blindado vale $ 14,8 millones al mes, y cada policía y su moto, 40 millones al año.'), ('Ciudadano mató a tres delincuentes en Santa Bárbara', 'Todo ocurrió en medio de un intento de atraco'), ('Claudia López acortará el perímetro de seguridad de La Santamaría', ""La alcaldesa de Bogotá informó que hará una fiesta 'no brava' durante la temporada taurina.""), ('Se registran desmanes y bloqueos en la U. Distrital, sede Macarena', 'Se encuentra bloqueada la circunvalar por protestas de estudiantes de la Universidad Distrital'), ('Hincha de millonarios muere quemado', 'Falleció horas después del ataque. Familia pide que investiguen los hechos.'), ('Nuevas estrategias para atender casos de acoso en TransMilenio', 'Nuevas medidas para que las mujeres se sientan seguras viajando en TransMilenio'), ('Choque accidental entre ciclistas termina en asesinato', 'Los hechos ocurrieron bajo el puente de la avenida Boyacá con avenida Villavicencio.'), ('Crimen ocurrido entre Soacha y Bosa pone a prueba a las autoridades', 'Un hombre fue asesinado por un presunto caso de hurto. Autoridades no definen de quién es el caso.')]"
2020-01-31,2020-02-01,14,"[('Comienza la temporada de toros con otras reglas de seguridad', 'Un perímetro de cierre más reducido y menos agentes de Policía, algunas de las novedades.'), ('Concejal, es la actitud / Voy y vuelvo', '¿Son los concejales figuras preponderantes para que gastemos nuestros impuestos de esta manera?'), ('Las nuevas amenazas que trae el consumo de drogas en Bogotá', 'Un informe de Acción Técnica Social advierte sobre mezclas de sustancias y altas concentraciones.'), ('Acuerdos en seguridad y movilidad tras reunión entre Duque y López', 'El Presidente de la República, Iván Duque, y la alcaldesa de Bogotá, Claudia López, se reunieron.'), ('Hombre que les disparó a presuntos asaltantes quedó en libertad', 'Las autoridades están tratando de esclarecer cómo ocurrieron los hechos.'), ('El homicidio que reveló el drama de ser víctima en frontera con Soacha', 'Asesinato deja ver que aún no está claro cómo será el trabajo conjunto entre las autoridades.'), ('A debate inseguridad en Bogotá, Concejo pide plan de choque', 'Piden que administración cumpla con el Plan de Choque'), ('Alcaldesa se pronuncia sobre la persona que se defendió de atraco', 'El Distrito estudia asistir legalmente al hombre que disparó contra los presuntos delincuentes.'), ('Derrame de cerveza en la avenida Boyacá con calle 80', 'El accidente del vehículo de carga generó dificultad en la movilidad del sector.'), (""'No estudié para ser conductor de Uber, pero pude salir a flote'"", 'Un conductor de la app teme por lo que la salida de este servicio implique para su estabilidad.'), ('Los concejales de Bogotá que no han aceptado esquema de seguridad', 'Consideran que no tienen riesgo alguno y prefieren movilizarse en el transporte público.'), ('Qué tan costoso es el esquema de seguridad de los concejales de Bogotá', 'Alquiler de blindado vale $ 14,8 millones al mes, y cada policía y su moto, 40 millones al año.'), ('Ciudadano mató a tres delincuentes en Santa Bárbara', 'Todo ocurrió en medio de un intento de atraco'), ('Claudia López acortará el perímetro de seguridad de La Santamaría', ""La alcaldesa de Bogotá informó que hará una fiesta 'no brava' durante la temporada taurina."")]"
