date,trends
2020-10-28,18.3
2020-10-29,16.47
2020-10-30,22.57
2020-10-31,15.25
2020-11-01,27.03
2020-11-02,6.89
2020-11-03,12.72
2020-11-04,11.13
2020-11-05,20.14
2020-11-06,22.26
2020-11-07,0.0
2020-11-08,13.44
2020-11-09,15.84
2020-11-10,20.16
2020-11-11,8.16
2020-11-12,14.4
2020-11-13,12.96
2020-11-14,20.64
2020-11-15,0.0
2020-11-16,23.32
2020-11-17,16.43
2020-11-18,18.55
2020-11-19,24.91
2020-11-20,20.67
2020-11-21,30.21
2020-11-22,23.52
2020-11-23,9.52
2020-11-24,6.16
2020-11-25,14.0
2020-11-26,20.16
2020-11-27,15.68
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,24.2
2020-12-01,19.8
2020-12-02,5.5
2020-12-03,17.6
2020-12-04,26.4
2020-12-05,15.95
2020-12-06,25.84
2020-12-07,34.0
2020-12-08,21.08
2020-12-09,21.08
2020-12-10,7.48
2020-12-11,38.08
2020-12-12,23.12
2020-12-13,13.2
2020-12-14,23.4
2020-12-15,17.4
2020-12-16,35.4
2020-12-17,16.8
2020-12-18,21.6
2020-12-19,19.2
2020-12-20,24.79
2020-12-21,8.04
2020-12-22,17.42
2020-12-23,67.0
2020-12-24,20.1
2020-12-25,19.43
2020-12-26,0.0
2020-12-27,13.63
2020-12-28,11.28
2020-12-29,14.1
2020-12-30,0.0
2020-12-31,5.64
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,17.16
2021-01-04,12.48
2021-01-05,28.6
2021-01-06,9.88
2021-01-07,9.36
2021-01-08,14.56
2021-01-09,8.32
2021-01-10,18.56
2021-01-11,14.5
2021-01-12,33.64
2021-01-13,51.04
2021-01-14,22.04
2021-01-15,34.22
2021-01-16,15.66
2021-01-17,22.14
2021-01-18,27.0
2021-01-19,28.62
2021-01-20,7.56
2021-01-21,12.96
2021-01-22,22.14
2021-01-23,9.72
2021-01-24,18.24
2021-01-25,27.36
2021-01-26,18.81
2021-01-27,21.09
2021-01-28,22.23
2021-01-29,24.51
2021-01-30,26.22
2021-01-31,17.28
